species,ref_height,ini_height,endemism,phenology,form,density,texture,max_height,max_width,year_max,spacing,coverage
Correa reflexa,0.000000,0.125000,regional,mar_apr_may_jun_jul_aug_sep,mounding,closed,medium,1.25,1.5,"3","1","35"
Correa reflexa,0.000000,0.125000,regional,mar_apr_may_jun_jul_aug_sep,mounding,closed,medium,1.25,1.5,"3","1","35"
Banksia marginata,0.000000,0.450000,regional,feb_mar_apr_may_jun_jul_aug_sep_oct_nov,rounded,closed,medium,0.9,1.1,"5","3","35"
Banksia marginata,0.000000,0.450000,regional,feb_mar_apr_may_jun_jul_aug_sep_oct_nov,rounded,closed,medium,0.9,1.1,"5","3","35"
Banksia marginata,0.000000,0.450000,regional,feb_mar_apr_may_jun_jul_aug_sep_oct_nov,rounded,closed,medium,0.9,1.1,"5","3","35"
Banksia marginata,0.000000,0.450000,regional,feb_mar_apr_may_jun_jul_aug_sep_oct_nov,rounded,closed,medium,0.9,1.1,"5","3","35"
Banksia marginata,0.000000,0.450000,regional,feb_mar_apr_may_jun_jul_aug_sep_oct_nov,rounded,closed,medium,0.9,1.1,"5","3","35"
Banksia marginata,0.000000,0.450000,regional,feb_mar_apr_may_jun_jul_aug_sep_oct_nov,rounded,closed,medium,0.9,1.1,"5","3","35"
Banksia marginata,0.000000,0.450000,regional,feb_mar_apr_may_jun_jul_aug_sep_oct_nov,rounded,closed,medium,0.9,1.1,"5","3","35"
Banksia marginata,0.000000,0.450000,regional,feb_mar_apr_may_jun_jul_aug_sep_oct_nov,rounded,closed,medium,0.9,1.1,"5","3","35"
Banksia marginata,0.000000,0.450000,regional,feb_mar_apr_may_jun_jul_aug_sep_oct_nov,rounded,closed,medium,0.9,1.1,"5","3","35"
